%AI0001,%R01001
%AI0002,%R01002
%AI0003,%R01003
%AI0004,%R01004
%AI0005,%R01005
%AI0006,%R01006
%AI0007,%R01007
%AI0008,%R01008
%AI0009,%R01009
%AI0010,%R01010
%AI0011,%R01011
%AI0012,%R01012
%AI0013,%R01013
%AI0014,%R01014
%AI0015,%R01015
%AI0016,%R01016
%AQ0003,%R01017
%AQ0004,%R01018
%I00001,%R01019
%I00002,%R01020
%I00003,%R01021
%I00004,%R01022
%I00005,%R01023
%I00006,%R01024
%I00007,%R01025
%I00008,%R01026
%I00009,%R01027
%I00010,%R01028
%I00011,%R01029
%I00012,%R01030
%I00013,%R01031
%I00014,%R01032
%I00015,%R01033
%I00016,%R01034
%I00017,%R01035
%I00018,%R01036
%I00019,%R01037
%I00020,%R01038
%I00021,%R01039
%I00022,%R01040
%I00023,%R01041
%I00024,%R01042
%I00025,%R01043
%I00026,%R01044
%I00027,%R01045
%I00028,%R01046
%I00029,%R01047
%I00030,%R01048
%I00031,%R01049
%I00032,%R01050
%I00033,%R01051
%I00034,%R01052
%I00035,%R01053
%I00036,%R01054
%I00037,%R01055
%I00038,%R01056
%I00039,%R01057
%I00040,%R01058
%I00041,%R01059
%I00042,%R01060
%I00043,%R01061
%I00044,%R01062
%I00045,%R01063
%I00046,%R01064
%I00047,%R01065
%I00048,%R01066
%I00049,%R01067
%I00050,%R01068
%I00051,%R01069
%I00052,%R01070
%I00053,%R01071
%I00054,%R01072
%I00055,%R01073
%I00056,%R01074
%I00057,%R01075
%I00058,%R01076
%I00059,%R01077
%I00060,%R01078
%I00061,%R01079
%I00062,%R01080
%I00063,%R01081
%I00064,%R01082
%I00129,%R01083
%I00130,%R01084
%I00138,%R01085
%I00139,%R01086
%I00140,%R01087
%I00142,%R01088
%I00144,%R01089
%I00145,%R01090
%I00146,%R01091
%I00153,%R01092
%I00154,%R01093
%I00155,%R01094
%I00156,%R01095
%I00161,%R01096
%I00162,%R01097
%I00163,%R01098
%I00164,%R01099
%I00165,%R01100
%I00168,%R01101
%I00173,%R01102
%I00176,%R01103
%I00241,%R01104
%I00242,%R01105
%I00243,%R01106
%I00244,%R01107
%I00245,%R01108
%I00246,%R01109
%I00247,%R01110
%I00248,%R01111
%I00249,%R01112
%I00250,%R01113
%I00252,%R01114
%I00253,%R01115
%I00254,%R01116
%I00255,%R01117
%I00256,%R01118
%I01025,%R01119
%I01026,%R01120
%I01037,%R01121
%I01040,%R01122
%M00101,%R01711
%M00102,%R01712
%M00104,%R01710
%M00111,%R01717
%M00112,%R01718
%M00113,%R01713
%M00114,%R01716
%Q00001,%R01123
%Q00002,%R01124
%Q00003,%R01125
%Q00004,%R01126
%Q00005,%R01127
%Q00006,%R01128
%Q00007,%R01129
%Q00008,%R01130
%Q00009,%R01131
%Q00010,%R01132
%Q00011,%R01133
%Q00012,%R01134
%Q00013,%R01135
%Q00014,%R01136
%Q00015,%R01137
%Q00016,%R01138
%Q00025,%R01139
%Q00026,%R01140
%Q00027,%R01141
%Q00028,%R01142
%Q00029,%R01143
%Q00030,%R01144
%Q00031,%R01145
%Q00032,%R01146
%Q00034,%R01147
%Q00035,%R01148
%Q00036,%R01149
%Q00037,%R01150
%Q00038,%R01151
%Q00039,%R01152
%Q00040,%R01153
%Q00041,%R01154
%Q00042,%R01155
%Q00043,%R01156
%Q00044,%R01157
%Q00045,%R01158
%Q00046,%R01159
%Q00047,%R01160
%Q00048,%R01161
%R00001,%R01162
%R00002,%R01163
%R00101,%R01164
%R00146,%R01165
%R00201,%R01166
%R00246,%R01167
