%AI0001,%R02001
%AI0002,%R02002
%AI0003,%R02003
%AI0004,%R02004
%AI0005,%R02005
%AI0006,%R02006
%AI0011,%R02007
%AI0012,%R02008
%AI0013,%R02009
%AI0014,%R02010
%AI0015,%R02011
%AI0028,%R02012
%AI0029,%R02013
%AI0033,%R02014
%AI0034,%R02015
%AI0035,%R02016
%AI0036,%R02017
%AI0037,%R02018
%AI0038,%R02019
%AI0039,%R02020
%AI0040,%R02021
%AI0041,%R02022
%AI0042,%R02023
%AI0043,%R02024
%AI0044,%R02025
%AI0045,%R02026
%AI0046,%R02027
%AI0047,%R02028
%AI0048,%R02029
%AI0049,%R02030
%AI0050,%R02031
%AI0051,%R02032
%AI0052,%R02033
%AI0053,%R02034
%AI0054,%R02035
%AI0064,%R02036
%AI0071,%R02037
%AI0072,%R02038
%AI0073,%R02039
%AI0074,%R02040
%AI0075,%R02041
%AI0076,%R02042
%AI0077,%R02043
%AI0078,%R02044
%AI0079,%R02045
%AI0080,%R02046
%AI0081,%R02047
%AI0082,%R02048
%AI0083,%R02049
%AI0084,%R02050
%AI0085,%R02051
%AI0086,%R02052
%I00001,%R02054
%I00002,%R02055
%I00003,%R02056
%I00004,%R02057
%I00005,%R02058
%I00006,%R02059
%I00007,%R02060
%I00008,%R02061
%I00009,%R02062
%I00010,%R02063
%I00011,%R02064
%I00012,%R02065
%I00013,%R02066
%I00014,%R02067
%I00015,%R02068
%I00016,%R02069
%I00017,%R02070
%I00018,%R02071
%I00019,%R02072
%I00020,%R02073
%I00021,%R02074
%I00022,%R02075
%I00023,%R02076
%I00024,%R02077
%I00025,%R02078
%I00026,%R02079
%I00027,%R02080
%I00028,%R02081
%I00029,%R02082
%I00030,%R02083
%I00031,%R02084
%I00032,%R02085
%I00033,%R02086
%I00034,%R02087
%I00035,%R02088
%I00036,%R02089
%I00037,%R02090
%I00038,%R02091
%I00039,%R02092
%I00040,%R02093
%I00042,%R02094
%I00044,%R02095
%I00045,%R02096
%I00046,%R02097
%I00047,%R02098
%I00048,%R02099
%I00049,%R02100
%I00050,%R02101
%I00051,%R02102
%I00053,%R02103
%I00054,%R02104
%I00055,%R02105
%I00056,%R02106
%I00057,%R02107
%I00058,%R02108
%I00059,%R02109
%I00060,%R02110
%I00065,%R02111
%I00066,%R02112
%I00067,%R02113
%I00068,%R02114
%I00069,%R02115
%I00070,%R02116
%I00071,%R02117
%I00072,%R02118
%I00073,%R02119
%I00076,%R02120
%I00077,%R02121
%I00078,%R02122
%I00079,%R02123
%I00080,%R02124
%I00081,%R02125
%I00082,%R02126
%I00085,%R02127
%I00086,%R02128
%I00087,%R02129
%I00088,%R02130
%I00089,%R02131
%I00090,%R02132
%I00091,%R02133
%I00092,%R02134
%I00093,%R02135
%I00094,%R02136
%I00095,%R02137
%I00097,%R02138
%I00098,%R02139
%I00099,%R02140
%I00100,%R02141
%I00101,%R02142
%I00103,%R02143
%I00104,%R02144
%I00105,%R02145
%I00108,%R02146
%I00109,%R02147
%I00110,%R02148
%I00111,%R02149
%I00112,%R02150
%I00113,%R02151
%I00114,%R02152
%I00117,%R02153
%I00118,%R02154
%I00119,%R02155
%I00120,%R02156
%I00121,%R02157
%I00122,%R02158
%I00123,%R02159
%I00124,%R02160
%I00125,%R02161
%I00126,%R02162
%I00127,%R02163
%I00129,%R02164
%I00130,%R02165
%I00131,%R02166
%I00132,%R02167
%I00133,%R02168
%I00134,%R02169
%I00135,%R02170
%I00136,%R02171
%I00137,%R02172
%I00140,%R02173
%I00141,%R02174
%I00142,%R02175
%I00143,%R02176
%I00144,%R02177
%I00145,%R02178
%I00146,%R02179
%I00149,%R02180
%I00150,%R02181
%I00151,%R02182
%I00152,%R02183
%I00153,%R02184
%I00154,%R02185
%I00155,%R02186
%I00156,%R02187
%I00157,%R02188
%I00158,%R02189
%I00159,%R02190
%I00161,%R02191
%I00162,%R02192
%I00163,%R02193
%I00164,%R02194
%I00165,%R02195
%I00166,%R02196
%I00167,%R02197
%I00168,%R02198
%I00169,%R02199
%I00172,%R02200
%I00173,%R02201
%I00174,%R02202
%I00175,%R02203
%I00176,%R02204
%I00177,%R02205
%I00178,%R02206
%I00181,%R02207
%I00182,%R02208
%I00183,%R02209
%I00184,%R02210
%I00185,%R02211
%I00186,%R02212
%I00187,%R02213
%I00188,%R02214
%I00189,%R02215
%I00190,%R02216
%I00191,%R02217
%I00193,%R02218
%I00194,%R02219
%I00195,%R02220
%I00196,%R02221
%I00197,%R02222
%I00198,%R02223
%I00199,%R02224
%I00200,%R02225
%I00201,%R02226
%I00202,%R02227
%I00203,%R02228
%I00204,%R02229
%I00209,%R02230
%I00210,%R02231
%I00211,%R02232
%I00212,%R02233
%I00213,%R02234
%I00214,%R02235
%I00215,%R02236
%I00216,%R02237
%I00217,%R02238
%I00218,%R02239
%I00219,%R02240
%I00220,%R02241
%I00225,%R02242
%I00226,%R02243
%I00227,%R02244
%I00228,%R02245
%I00229,%R02246
%I00230,%R02247
%I00231,%R02248
%I00232,%R02249
%I00233,%R02250
%I00234,%R02251
%I00235,%R02252
%I00236,%R02253
%I00241,%R02254
%I00242,%R02255
%I00243,%R02256
%I00244,%R02257
%I00245,%R02258
%I00246,%R02259
%I00247,%R02260
%I00248,%R02261
%I00249,%R02262
%I00250,%R02263
%I00251,%R02264
%I00252,%R02265
%I00256,%R02266
%I00270,%R02267
%I00271,%R02268
%I00272,%R02269
%I00273,%R02270
%I00274,%R02271
%I00275,%R02272
%I00276,%R02273
%I00277,%R02274
%I00278,%R02275
%I00281,%R02276
%I00282,%R02277
%I00283,%R02278
%I00284,%R02279
%I00285,%R02280
%I00286,%R02281
%I00289,%R02282
%I00290,%R02283
%I00291,%R02284
%I00293,%R02285
%I00294,%R02286
%I00295,%R02287
%I00297,%R02288
%I00306,%R02289
%I00307,%R02290
%I00308,%R02291
%I00309,%R02292
%I00310,%R02293
%I00311,%R02294
%I00312,%R02295
%I00313,%R02296
%I00314,%R02297
%I00315,%R02298
%I00316,%R02299
%I00317,%R02300
%I00318,%R02301
%I00320,%R02302
%I00321,%R02303
%I00322,%R02304
%I00323,%R02305
%I00324,%R02306
%I00326,%R02307
%I00327,%R02308
%I00328,%R02309
